twitter,emoticon,sentiment score,sentiment feature,generalized feature
 a pony's clop-clopping down the hill (heard him long before i saw him). this would so not happen in Brooklyn barring a cop on horseback.,0,0,positive,2
 adam ong,0,0,positive,2
 adorei zoffitcha hj... dps ponho foto no tpic. GOODNIGHT TWITTERS =],0,0.1027,positive,2
 after next wednesday i wont be able to snuggle with lilly when i go to bed. she's the BEST dog ever.,0,0.7125,very positive,3
 After turning my fan club into a religion,0,0.3182,positive,2
 again..cause india is definitely out.. ==,0,0.4019,positive,2
 Ah well I'm having enough fun playing with 3.0 which I got LEGALLY. *Shakes his head at people who got it illegaly*,0,0.8091,very positive,3
 ahhh!No,0,0,positive,2
 aint i supposed to be happy ...,0,0.5719,very positive,3
 alas,0,-0.2732,negative,1
 Alexa isn't feeling well. Daddy went and picked her up from Gram's house,0,-0.2924,negative,1
 all done.,0,0,positive,2
 all good things must come to an end.. bye bye Hamptons,0,0.4404,positive,2
 All i can say is DAM IT TO HELL!!!!!!!!!!!!,0,0,positive,2
 all I have to say is sorry =\ &amp;&amp; even though were still togther I feel so far apart...,0,-0.3612,negative,1
 all smiles. im fairly hapy with what has happened yesterday,0,0.4767,positive,2
- all the snow is gone... that didn't take long... ,0,0,positive,2
 all this time i thought my electric blanky was turned on TURNS out it wasnt FAIL,0,0.5255,very positive,3
 almost done wit the painting tired as crap. Sleep time.&quot;in love with u&quot;- ziggy marley and erykah badu,0,-0.0772,negative,1
 almost done with my dark roast with double espresso....need more....zooooooooom #imjustsayin,0,0,positive,2
 almost wishing I didnt volunteer to teach VBS this yr. I do need a break,0,0.7536,very positive,3
 Alone and invisible ,0,-0.25,negative,1
 aloneeeeeeeee,0,0,positive,2
 also made a masterful roast dinner,0,0,positive,2
 Alton towers with the school on Friday  although we need to leave at 5am ,0,-0.0516,negative,1
 am 200 updates in Twitter #stats,0,0,positive,2
 am i too immature for a 16 year old? I just really like Ninja ponies..that have only 3 legs.,0,0.4201,positive,2
 haha. Someone i don't even know made me laugh. ryan ross = win.,0,0.886,very positive,3
 hair looks dorky. Oh well.,0,0,positive,2
 hand ball again by wynne.. Dc scores on penalty.. BS 3-3,0,0.4939,positive,2
 Hanging out with Steven Mohler on Sunday! ah :],0,0.5411,very positive,3
 hangover not good..,0,0,positive,2
 happy birthday to me and mom! Why am i always the first one up? So here i am falling off the bed cuz someone is a bed hog  ,0,0.4816,positive,2
 happy face.,0,0.5719,very positive,3
 happy hour ended! Bummer in the summer. I guess I have to ride my bike back to carson.,0,0.3382,positive,2
 happy that its sunny,0,0.7579,very positive,3
 happy to see him,0,0.5719,very positive,3
 happy with the way thing are goingg,0,0.5719,very positive,3
 Happy,0,0.5719,very positive,3
 happy. spending time with mum,0,0.5719,very positive,3
 harsh shisha,0,-0.4404,negative,1
 has got no phone fr cupla days so facebook me (inbox) gt no laptop only ifone wf no sim x,0,-0.5423,very negative,0
- Has Just Got Up &amp;+ Is Listening To Good Charlotte ,0,0.4404,positive,2
 Has obvisously Just lost the game yet again...,0,-0.3182,negative,1
 has something very special in mind &lt;3,0,0.4576,positive,2
 hate my life..hate coming home..,0,-0.5719,very negative,0
 hates the fact that she has to work instead of going dress shopping with my cousin!!!,0,-0.5826,very negative,0
- hates waiting and equally hates job hunting! ,0,-0.7263,very negative,0
 have a headache...,0,0,positive,2
 Have a Nice Day!,0,0.4753,positive,2
 have a nice day... cause i will!,0,0.4753,positive,2
 Have sooo much to revbise I don't even get to go church. Boo to exams,0,0,positive,2
 have to get up a 3:00am tomorrow,0,0,positive,2
 have to take car to mechanic fml.  #talesfrmsurbs,0,0,positive,2
 havent updated in forever,0,0,positive,2
 havin a bad hair day ; an the weather is not helpin my mood at all !! ..,0,-0.6229,very negative,0
 havin fun my friend?,0,0.7579,very positive,3
- having a bad day ! ,0,-0.5848,very negative,0
 Having a terrible day,0,-0.4767,negative,1
 having the biggest thought right now,0,0,positive,2
 having to get tooth pulled - on the bright side problem solved,0,0.3182,positive,2
having to stay up and watch my sister throw up. she is so very hammered. and this is really not fun...  long night for me. hmmm.,0,0,positive,2
 he didn't answer and his voicemail box is full.  Dammit.,0,0,positive,2
 Healthy Butcher,0,0.4019,positive,2
 Heard it on Pandora because that site is THAT cool http://bit.ly/C5Ja3,0,0.3182,positive,2
 hee hee. your so weird. and i did NOT shiver.,0,-0.3052,negative,1
 Heroes is losing it's momentum ): come on writers pick it up!!!,0,-0.4545,negative,1
 Hey Terri! The game isn't too expensive,0,0,positive,2
 hey...i'm back..if someone want to talk.. here i am.,0,0.0772,positive,2
 hiccuuppsss ,0,0,positive,2
 his gone for a month in the middle of winter... first day and im lost already... 1 down,0,-0.3182,negative,1
 History Final Review..Still Not Done.,0,0,positive,2
 hm.. Can I be the nut?,0,0,positive,2
 hmm emotionless,0,0,positive,2
 hmph...text me...,0,0,positive,2
 Home finally.Making fettuccine and relaxing my sore feetsies!,0,0.2481,positive,2
 homeish lol..hella fun day  .. Thanks leela thai  .. Thanks paul.. Thanks michelle mufid Cristina kittykat  .. Awkward moose ? ,0,0.886,very positive,3
 another year older,0,0,positive,2
 any comment on the latest star trek movie? is it nice?,0,0.4871,positive,2
 any day now,0,0,positive,2
 Anyone have any connections to getting SOLD OUT tix for Duran Duran at The Fillmore???!,0,0,positive,2
 AP IMPACT: Alternative medicine goes mainstream http://u.mavrev.com/8kn0,0,0,positive,2
-- Apparently I have to wait til June 5  I want some of Paolo's Candy nooooooooow,0,0.0772,positive,2
 apple counting the kama sutra as objectionable/abscene? http://bit.ly/bHJG8,0,0,positive,2
 apple counting the kama sutra as objectionable/obscene? http://bit.ly/bHJG8,0,0,positive,2
 Apple has delayed the release of OS3! http://bit.ly/2lwpll,0,-0.2942,negative,1
 Apple store... BBL ~,0,0,positive,2
 are selena gomez &amp; taylor lautner going out,0,0,positive,2
 Are you going to be taking photographs tonight??? :O,0,-0.3966,negative,1
 ARRRRRRGGGH!   I cant wait till next weeeeeeeeek!,0,0,positive,2
 at david eddings dieing,0,0,positive,2
 AT LAST!! Successful deployment complete.  Soo.....what do I do now?,0,0.658,very positive,3
 At least one dead in shooting by militia at potesters in Azadi Sq in Tehran: http://tinyurl.com/nsvx6q #IranElection,0,-0.6486,very negative,0
 at tegus x 2 days only ,0,0,positive,2
at the apple store again today because Jonathan did not wake up early and now needs his phone.,0,0,positive,2
 at the clouds and the threat of rain in Savusavu!,0,-0.5707,very negative,0
 at work until 4,0,0,positive,2
 At work.. having a postive attitude!!,0,0,positive,2
 Athens landmark Georgia Theater  on fire... http://bit.ly/EOL7s,0,0.0772,positive,2
 aw ,0,0,positive,2
 aw my loopt didn't upload the pic. I wanted 2 show u guys the art.,0,0,positive,2
 awesome,0,0.6249,very positive,3
 awesome day! soooooooooooooo happy &lt;3,0,0.8439,very positive,3
 awesome! Man,0,0.6588,very positive,3
 Awesome. &lt;3 TEDDY! ,0,0.6588,very positive,3
 aww dont make me blush!,0,0,positive,2
 aww i already did,0,0,positive,2
 aww I just saw a decapitated baby dear on the side of the road that made me sad.,0,-0.128,negative,1
 awww i hope u can get it.,0,0.4404,positive,2
 awww man. This suckd,0,0,positive,2
 Baby strampelt fast im Takt (New Soul - Yael Naim),0,0,positive,2
 back from native...,0,0,positive,2
 back here,0,0,positive,2
 back pain again!! calls for another therapy (annoyed) http://plurk.com/p/13c7l9,0,-0.5972,very negative,0
 back to sch tmr,0,0,positive,2
 Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess ,0,0,positive,2
 bad day,0,-0.5423,very negative,0
 bad day already,0,-0.5423,very negative,0
 bad headache,0,-0.5423,very negative,0
 bad mood. work soon. 9 hour shift wtf. sometimes i wish i had an another job.,0,-0.6808,very negative,0
 bad night bad times i hate the police and alcohol. and btw katie cw scores are added on they mean very little.,0,-0.8934,very negative,0
 bah,0,0,positive,2
 bandom has spoiled me rotten and now I'm feeling very emo. WHY SO FEW GOOD FRUITS BASKET FICS WHY.,0,0.4229,positive,2
 battery is low boooooooo in Palm Springs,0,-0.2732,negative,1
 hoping that the 3rd time is lucky and my Formal photos can up load on facebook without a crash.,0,0.7819,very positive,3
 How 2 get OCDer 2 eat more than 1-2 meals a day? We could take him off meds &amp; watch him slowly fall apart again but he'd eat like a horse,0,0.5023,very positive,3
 how can someone hurt someone soo much ........aspecially to family!!!!,0,-0.6776,very negative,0
 how horrible  R.I.P Georgia Theater,0,-0.5423,very negative,0
 HOW is this possible? I demand a justification. No way can I stand a day of this at work tomorrow.,0,-0.4019,negative,1
 how much longer is this going to go on?,0,0,positive,2
 how much rain can we take?,0,0,positive,2
 http://bit.ly/t8sGF  I hope she starts taking care of herself &lt;3,0,0.7269,very positive,3
 http://img207.imageshack.us/my.php?image=wpcl10670s.jpg her songs are so perfect.,0,0.6948,very positive,3
 http://tinyurl.com/llb9vf Poor boy was autistic &amp; loved water. Wish I could say he died with what he loved. But drowning's awful. ,0,0.2023,positive,2
 hurt my foot whilst doin exercise.... I got cramp and now it hurts if it has too much pressure on it...,0,-0.8591,very negative,0
 i actually do nat like my life at times like this  want to actually jst go and throw myself off a bridge.,0,0.657,very positive,3
 i agree @OasisStasis,0,0.3612,positive,2
 i am back,0,0,positive,2
 I AM BORED,0,-0.2732,negative,1
 i am crying you all a river...,0,-0.4767,negative,1
 i am musical today!,0,0,positive,2
 I am not awake yet and I don't get to workout until this afternoon because I have to go to the Nashville airport.,0,0,positive,2
 i am so sick of this. i have chest pains,0,-0.7501,very negative,0
 i am very happy today! and i don't why?      ,0,0.6468,very positive,3
 I ate too much. Now I can't sleep because I feel sick...and there are a lot of sirens.,0,0,positive,2
 i beat you video on youtube,0,0,positive,2
- I can almost hear my wallet saying &quot;I'm here,0,0,positive,2
 I can already tell that it's going to be one of *those* days...,0,0,positive,2
 I can't deal with this again...,0,0,positive,2
- I can't find my name badge ,0,0,positive,2
 i cant get kristen srewart to add me lol she prob  thinks im a stalker lol,0,0.6808,very positive,3
 I can't get my new picture to show up,0,0,positive,2
 i can't go. too much to do.,0,0,positive,2
 I can't hear a damn word that TBS is singing ,0,0.3089,positive,2
 I cant make it today,0,0,positive,2
 I Cant Stand Ma Brother He Got The New Jordans I Want... *tear*,0,0,positive,2
 I can't wait til my lil man is here...11 more weeks!,0,0,positive,2
 i can't wait to go home and watch danny phantom! While talking to stephen ,0,0,positive,2
 I can't wait to go to Las Vegas! 20 more days! OMG!,0,0,positive,2
 I Cant wait to watch britians got talent !!!!!! I dont like holly :O,0,0.5714,very positive,3
#NAME?,0,0,positive,2
 I did not get to see Beth,0,0,positive,2
 i didnt get head boy. Oh well...x,0,0,positive,2
 i didn't get to cook,0,0,positive,2
 I dislike myself right now. Maybe A Letter To You will help a bit. Gonna lay down : /,0,0.0258,positive,2
 AM meetings suck!!,0,-0.5399,very negative,0
 am so upset but i wont tell you!,0,-0.3046,negative,1
 am suddenly v. v. sad and tired. :\ also - can anyone think of great hero anthems? counterpart to heroine's: http://snurl.com/kixxt,0,0.1027,positive,2
 amazing people ---&gt;  @geogurl @christophermc @feiticeira @bittersweetm #followfriday,0,0.5859,very positive,3
 An online number lets family and friends call you at local rates wherever you are in the world. Loving Skype http://is.gd/tsgM,0,0.8074,very positive,3
 And I have to get going #MCRchat,0,0,positive,2
 And so it begins again... I'll be at Subway if you need me. Sigh sigh sigh.,0,0.0772,positive,2
- Animal Crossing crashed on me after 50 minutes of work.  At least I still have my silver shovel.,0,0,positive,2
 another day of running!! ......Today is fresh to death Friday (everyday is fresh to death Friday 4 me) Ha Ha lol!!!!,0,-0.3753,negative,1
 Another eye infection. My left eye is contaminated I swear. I get eye infections every month haha.,0,0.4215,positive,2
 another one... and ill expect more to come... way to go dy... aarrrrggghhhhh!,0,-0.4753,negative,1
 another Saturday without MO. Glad Rachel is coming over!,0,-0.416,negative,1
 ants are evil!,0,-0.69,very negative,0
- Anyone else on Dropshots? My id is katjrobertson  It's password protected tho,0,0.4404,positive,2
 apparently going to rain. Please Don't rain. stay sunny. please  x,0,0.3111,positive,2
 APPARENTLY YOU ONLY NEED LIKE 10 LINES ON THE LAST QUESTION! I DID A WHOLE PAGE! UGGGGGGGHHHH,0,0.5882,very positive,3
 arghhhhhhhhhhhhhhh,0,0,positive,2
 Arizona Real Estate Specialist - View ALL HOMES for sale in arizona on my website FREE http://www.nicholasmcconnell.com Coldwell Banker,0,0.6166,very positive,3
 as my old comp duied on me 2 weeks ago ... but not to fear i will find a way to post up music no matter what,0,0.2003,positive,2
- At a cabaret with my family; I love them!! .. In my comfort zone ,0,0.8065,very positive,3
 at Atl's trance scene.,0,0,positive,2
- at home eating mcdonalds cinnamelts &amp;&amp; a oreo frosty. ,0,0,positive,2
 at Katy Perry delaying her Birmingham gig for nearly 3 months.,0,0,positive,2
 At least today is ok.,0,0.296,positive,2
#NAME?,0,0,positive,2
 at the doctors. -Ian,0,0,positive,2
 at the hosp,0,0,positive,2
 at the manila right now.,0,0,positive,2
 at when Pac got shot in vegas,0,0,positive,2
 at work,0,0,positive,2
 at work... *tears*,0,0,positive,2
 aw damn somebody hit tiffany on nxt weeks episode or somethin?? Hellllllll no I'm def watchin nxt week lol,0,-0.3527,negative,1
 aw i hate my heart sooo soo much. but it's ok.,0,0.1154,positive,2
#NAME?,0,0,positive,2
 awwe it's over. But for shuch a short storm we had it all,0,0,positive,2
 Awww cmon moodswings..,0,0,positive,2
 babe i miss you! How was wet n' wild?,0,-0.2244,negative,1
 baby ethans leaving for the PI tomorrow.,0,0,positive,2
 back freakin hurts.,0,-0.4767,negative,1
 back from shower.,0,0,positive,2
 back to college for me now havnt had any sleep very tierd! hope its nice and sunny 2day,0,0.843,very positive,3
 back to hotel. time to start work ,0,0,positive,2
 back to maths. i wish i could stab it. but at least i have another red bull ,0,-0.1406,negative,1
 BB is on again soon..... ARGH!!,0,0,positive,2
 BBL ppl ~ have to go to school~,0,0,positive,2
 being grounded sucks,0,-0.3612,negative,1
 belllly ache.,0,-0.3818,negative,1
 bestee went to get pamperd wit out me (sike) she invited me but me not in the mood. i still &lt;3 her tho!!!!,0,0,positive,2
Beth left  Man oh man. Wanted to go tanning today. but I dont think that im going to be able to. Makes me sad. Boo hoo.,0,-0.631,very negative,0
 Bethenny Frankel Starred In Hollywood Hills 90028 http://tinyurl.com/qytxx4,0,0,positive,2
 big giant fail on my part this morning.,0,-0.5423,very negative,0
 bit disapponted with new DM album. Hope it's a grower.,0,0.4404,positive,2
 blah,0,-0.1027,negative,1
 blonde moment @Sammy_Bunny  thihi,0,0,positive,2
 Blonde moment,0,0,positive,2
 Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,0,-0.5267,very negative,0
 body shop 2morrow. Side veiw mirror is still MIA. SMH at $400 price tag.,0,-0.7154,very negative,0
 BOO. I always miss the good stuff!,0,0.3802,positive,2
 boooo! My iPhone is dying!,0,0,positive,2
 Bored,0,-0.2732,negative,1
 bored in work! Bleeehhh just had chilli for lunch,0,-0.3382,negative,1
 bored&amp;&amp;my foot is killing me. hopefully I can still go to sandhills this weekend!!making my RAMEN N00DLES so I can take my medicine. brb,0,-0.508,very negative,0
 bored..i've sat inside this house the past 2 days...sucky,0,0,positive,2
 bored..yo!,0,0,positive,2
 boring.. wait! i will comment on my friend in FS frst! ;,0,0.5837,very positive,3
 bout to leave NY bak to CT--damn I been comin out here err day this week! Lol smh jus makin quik stops handlin bizzz,0,-0.1511,negative,1
 bout to party in a tent ,0,0.4019,positive,2
 Boys are stupid,0,-0.5267,very negative,0
' Brokeback Mountain'is so beautiful,0,0.7177,very positive,3
 broken again -.-,0,-0.4767,negative,1
 broken bones suck,0,-0.7184,very negative,0
 broken hearts will heal with time...,0,-0.4767,negative,1
 Bron It's okay,0,0.2263,positive,2
 brug says swine flu reached manila. Now the I don't have a reason for the JB to come here as refuge from h1n1!!! (,0,-0.4724,negative,1
 bummer. .. what happened to wednesday nights??,0,-0.4515,negative,1
 Bus only just arrived. was sposed to be here 25 mins ago. Cant wait till i can drive again so i dnt have to rely on busses.,0,0,positive,2
 But caught Bullet Boys,0,0,positive,2
 but i  love that show @ohai_audrey ...,0,0.7783,very positive,3
 but idk,0,-0.1531,negative,1
 but not with Karen anymore,0,0,positive,2
 But pretty good acting for 4 year old. I was impressed.,0,0.8481,very positive,3
but sticks and stones still break my bones,0,0,positive,2
 but why not? @kathrynYO,0,0,positive,2
 but youre taking steps to change it!,0,0,positive,2
 bye baby. up next= one way ticket to hawaii. weird.,0,-0.1779,negative,1
 byee guysss,0,0,positive,2
 calculus exam,0,0,positive,2
 I dnt knw,0,0,positive,2
 i dnt want it! Just revenge.,0,-0.5255,very negative,0
 i don't feel good. I want some partyrings &amp;&amp; starbucks,0,-0.3875,negative,1
 i dont fell happy right now ,0,-0.4585,negative,1
 i dont know wer we went wrong,0,-0.4767,negative,1
 i don't know what to put.,0,0,positive,2
 i don't know why but i'm really sad and worried at the moment.,0,-0.831,very negative,0
 I DON'T KNOW WHY I CAN'T DM FROM MY PHONE. THIS SUCK.,0,-0.4404,negative,1
 i don't know why i'm sad and worried at the moment. i really don't know.,0,-0.6486,very negative,0
 i don't like crying.,0,0.1139,positive,2
 I don't think my dog is gonna make it past the night ,0,0,positive,2
 i dont think yoru there... bummma,0,0,positive,2
 I don't wanna be at work right now. I'm sooo tired and a smidge hungover,0,-0.4404,negative,1
 I don't wanna be sick,0,0.4023,positive,2
 i dont wanna do this im gunna cry,0,-0.4767,negative,1
 I don't wanna go to work.... Tired and I miss my papi ,0,-0.5423,very negative,0
 i don't want school anymoreee.,0,-0.0572,negative,1
 I dunno what to do now.,0,0,positive,2
 i failed my math final part #2     i hate calculus nowwww !,0,-0.807,very negative,0
 i feel bad .MewithoutYou.,0,-0.5423,very negative,0
 i feel just like my car inside banged up and sad   maybe its meant for  me to get a new can i borrow some cash ..anyone? anyone?,0,-0.2406,negative,1
 I feel like a horrible human being. I didn't take the dog out when I was supposed too!,0,-0.3164,negative,1
 I feel like crap. ,0,-0.0258,negative,1
 i feel like crawling into my bed under my covers listening to my ipod and having a cry session..,0,-0.1531,negative,1
 I feel like my ipod is gonna die on me today. (The apple of my eye-double pun),0,-0.34,negative,1
 i feel really alone.,0,-0.3167,negative,1
 i fell down the stairs again... i officially hate curvy staircases. they're nothing but bad news.,0,0.3453,positive,2
 i felt so sick today,0,-0.5563,very negative,0
 I finally have updated from a computer. THANK YOU DAD,0,0.4995,positive,2
 I forgot to bring my new Allegra D 12 hour to work today... so Singulair and I are flying solo today! ,0,0,positive,2
 i forgot to tell you guys that I didnt make  the cheer team  gggrr!! ,0,-0.5083,very negative,0
 i got banned forever from cp mimo dosnt that suck?,0,-0.7096,very negative,0
 i got ill and tomorrow i?¢¯¨öve got birthday...,0,-0.4215,negative,1
 i got sunburnt 2day....In Blackpool :O lol my little boy had fun tho....chucking water on me lol,0,0.7582,very positive,3
 I GUESS I DONT HAVE A BOYFRIEND!!!!!!,0,0,positive,2
 I guess I wouldn't be a true Cleveland sports fan without years of collapse and disappointment,0,-0.1788,negative,1
 i guess it got you more time to work rofl,0,0.5719,very positive,3
 I hat3 seeing friends breakup.....im sorry frankus,0,0.4215,positive,2
 I hate goodbyes.,0,-0.5719,very negative,0
 i hate having to change driving instructor... new one has dented my confidence slightly...,0,-0.1027,negative,1
 I hate having to work weekend duty.,0,-0.5719,very negative,0
 i hate him. ,0,-0.5719,very negative,0
 i hate it! he's mad at me again! ,0,-0.8168,very negative,0
 i hate lightening.,0,-0.5719,very negative,0
 I hate not having anyone to talk to.,0,-0.5719,very negative,0
 I hate pain,0,-0.7906,very negative,0
 I hate summerschool! @santospattyy have fun at work even though you're getting off at 10? @iwho doooit! I'll visitt you my fobby friend!,0,0.5684,very positive,3
 i hate the cold weather.,0,-0.5719,very negative,0
 BBC: Champion Nadal out of Wimbledon http://news.bbc.co.uk/sport2/hi/tennis/8085394.stm,0,0.5994,very positive,3
 Be careful... white at a BBQ is a high risk. But the dress is really awesome! http://lookbook.nu/look/154056,0,0.5551,very positive,3
 Beautiful day here on StT. Bout to head to Magens Bay- soak up some sun. Loove Saturdayss.,0,0.5994,very positive,3
 Beboing,0,0,positive,2
 because Boston (and fine ass Eddie House,0,-0.4019,negative,1
 because I'm a safe person,0,0.4404,positive,2
 becca told me i would start to feel better after food. Still stressing about this exam...more revision in a bit.,0,0.1027,positive,2
 becomming a fan of bubble shirts...Haha they dont make me look as chubby ,0,0.3182,positive,2
 been a crappy day...,0,-0.5574,very negative,0
 being a girl stinks. Grrrrrrrrrr,0,-0.25,negative,1
 Being forced into bed. Guess I'll have to wait until moring here for Niley news (I'm in UK so  ),0,-0.4588,negative,1
- big day of putting in a dock tomorrow.  60 degress outside,0,0,positive,2
 bio. physics. math. health. filipino. english. elections. help me i'm drowning in school work.,0,0.4019,positive,2
 blah blah blah... I'm perfect for you and you know it.,0,0.4404,positive,2
 Blesh. No feedback. And no one in my house will tell me. Sheesh.,0,-0.5267,very negative,0
 bluetooth still doesn't work on iphone 3.0. pile of knob sackage!,0,0,positive,2
 boo (but will I listen?),0,0,positive,2
 boo for the first day of classes...summer classes! ughhhh has anyone ever had boob cramps? lol,0,0.4753,positive,2
 boo hoo- trying to open my email,0,0,positive,2
 boo you suck...but thanks for one thing today and can't wait for the rest of the week...,0,0.4404,positive,2
 bored and no one is talking anymore.,0,-0.5106,very negative,0
 bored..... sad.... no one tweeting...,0,-0.296,negative,1
 bored.wish I had somewhere 2 go.ha,0,0,positive,2
 BOREDD I WANT TO GO HOMMMMME.,0,0.0772,positive,2
 Boring English Coursework.,0,-0.3182,negative,1
 BOSS marah coz i steal a few puff......,0,-0.4939,negative,1
 Boston and Atlanta both out...my vote goes to the Nuggets for NBA Champions! http://plurk.com/p/ug96m,0,0.5707,very positive,3
- bouta' watch mall cop ,0,0,positive,2
 brandon why do you work so much? ,0,0,positive,2
 breaking into pieces...waited all that time 4 what N.A.S.,0,0,positive,2
 bringing my lovely back home. Sucks. Great day. I love her. Steven later.,0,0.891,very positive,3
 British weather is back i see! Oh well Birtney,0,0.3382,positive,2
 bryan wants on right now. if i can get on when hes done i will. TXT MEEEEEE!,0,0,positive,2
 but theres always tomorrow..,0,0,positive,2
 caffine headache now lol follow @peterfacinelli @gilbirmingham @billy_burke,0,0.4215,positive,2
' camp in confirming that he will be in San Diego this fall for the PRSSA Convention. haha. ,0,0.4588,positive,2
 can I tweet yet? My phone was jus buggin,0,0,positive,2
#NAME?,0,0,positive,2
 can some one pleease tell me how to work out the total surface area of a square pyramid? ,0,0,positive,2
 cannot hear the new song due to geographic location. i am geographically undesirable. and tune-less,0,-0.4404,negative,1
 Cant do this anymore,0,0,positive,2
 cant drive yet but that dont matter Im gonna learn bout cars and motorbikes.,0,-0.0286,negative,1
 can fuck I also have to read NIGHT!!,0,-0.6229,very negative,0
 can I go and sit in my own little corner,0,0,positive,2
 can someone buy me adrink? Faaa real!!!!!,0,0,positive,2
- can someone run with me to Newport ? Don't wanna take the ride myself ,0,0,positive,2
 Can yah figure it outt?!,0,0,positive,2
 can`t believe i missed out on a day of swimming at nikki`s!,0,-0.3595,negative,1
 can't believe the jumpers are gone...i'm really depressed now.,0,-0.5563,very negative,0
 cant do it!,0,0,positive,2
 can't ever find parking,0,0,positive,2
 cant fall back asleep.,0,0,positive,2
 can't get on the net on my phone,0,0,positive,2
 can't go swimming 2 day..mabey tomorrow..,0,0,positive,2
 cant leave because my dad is in the bathroom...,0,0.0382,positive,2
 cant listen to www.ZIPFM.net on my mac,0,0,positive,2
 Can't see his copper green guys though.. http://tinyurl.com/ppc4cq,0,0,positive,2
 cant sleep .. wishin i was wit @jimmyrobinson07 i love youu .. good nite twitters!!,0,0.8264,very positive,3
 cant sleep because my dumb arms itch so bad. FML i cant wait to go to the doctors,0,-0.8312,very negative,0
 Can't sleep... Must be the time change,0,0,positive,2
 can't stop smiling after talking to him all day...  ...Why couldn't I have met him months ago?!?,0,-0.3058,negative,1
 Cant waiit! xxx.,0,0,positive,2
 can't wait 'til wednesday!!!! &lt;3 CHAMPSSSS!!!!,0,0,positive,2
 cant wait till later!!!!!!!!!!! gonna sit here and play ps2 then prob watch the phillies then eat dinner then the best part of the day!,0,0.8302,very positive,3
 can't wait to get my share of her check today. Lol,0,0.6124,very positive,3
 cause i'm happy but disappointed my car is messing up.....my poor baby. now i'm hungry with no way to get food. What's in this house?????,0,-0.8936,very negative,0
 cavs lost,0,-0.3182,negative,1
 change of screen name,0,0,positive,2
 charade is over.Sammy Sosa supposedly tested positive in 2003 for a performance enhancing drug. My childhood hero is officially disgraced,0,0.6369,very positive,3
 Charging phone,0,0,positive,2
 cheer me up;,0,0.5106,very positive,3
 cheese and pickle sandwich with too much pickle = urgh!!,0,0,positive,2
 chillin!!!!,0,0,positive,2
 Chinese for dinner and working on a cool website template. So proud of myself.,0,0.6901,very positive,3
 chop my hand off please! Advil isn't working,0,0.6996,very positive,3
-- choppin it up w/ @auchboogie  i love you,0,0.6369,very positive,3
 Cleveland @MsJBell Congrats Orlando,0,0.5267,very positive,3
 clouds are rolling in....,0,0,positive,2
 coco doesnt tweet anymore. viva la hole woman. dont let us down...again....,0,0,positive,2
 come back,0,0,positive,2
 computer overheatedd. I think i smell burning laptop...,0,0,positive,2
 computers not working ,0,0,positive,2
 concert later tonight!,0,0,positive,2
 cool. Ew,0,0.3182,positive,2
 could be,0,0,positive,2
 could not get to sync facebook and twitter,0,0,positive,2
 Could Not Sleep If My Life Depended On It ):,0,-0.4215,negative,1
 couldn't find anything I wanted at Fry's that was within my budget.,0,0,positive,2
 couples in public,0,0,positive,2
 Covered in bug bites,0,0,positive,2
 coz he's ,0,0,positive,2
 cramps suck your mothers balls! *mentally screams* OUCH!,0,-0.5399,very negative,0
 i hate this .. Goodnight.,0,-0.5719,very negative,0
 i hate this part.,0,-0.5719,very negative,0
 i hate thunder... i woke up really scared just now cus of it.,0,-0.7841,very negative,0
 i hate when porn ppl follow me,0,-0.5719,very negative,0
 I have a brace and it hurts!!!!! now I am a braceface!!!!!,0,0,positive,2
 i have a buzz,0,0,positive,2
 i have a headache!!!,0,0,positive,2
 i have already seen all the episodes of forensic files they are playing tonight.,0,0.2023,positive,2
 i have been having the worst cramps lately.,0,-0.6249,very negative,0
 I have finally seen Clerks,0,0,positive,2
 I have one big swollen ear...antibiotics again!,0,0,positive,2
 I have such a problem with insomnia,0,-0.4019,negative,1
 i have the cold ,0,0,positive,2
 i have to go into school tomorrow to sing,0,0,positive,2
 I have to go to work.,0,0,positive,2
 i have to piss.,0,-0.4019,negative,1
 I have to wait till next Tuesday to see star trek cause no one will go with me till then.  Friends suck.,0,-0.25,negative,1
 i havent actually seen my bestfriend in maybe a month... My fault,0,-0.4019,negative,1
 I haven't been on Twitter all day thought I'd make some late twitters.,0,0,positive,2
 i haven't checked it for a while,0,0,positive,2
 i hope everyone has a great day!,0,0.807,very positive,3
 i hope i dont have any weird brain problem or disease  i think ill be fine though. the nurse doesnt sound too worried.,0,0.1546,positive,2
 i hope justice isnt mad at me,0,0.8372,very positive,3
 I hope the RAPE GHOST doesn't get me.,0,-0.7626,very negative,0
 I hope you find a great trousers,0,0.7906,very positive,3
 I is to drunk to know if in a partht or what nor,0,-0.34,negative,1
 i just ate some bad fruit,0,-0.5423,very negative,0
 I just busted my ass in the kitchen and I'm wearin flats....grr stupid floor,0,-0.7845,very negative,0
 i just got dumped by my boyfrnd  love  makayla,0,0.3612,positive,2
 I just got to my 500 tweet...... Do i get a prize? *sidebar* Cassidy...... Your NASTY! Why i gots to hear about your wide peen for? Smh,0,-0.6105,very negative,0
 i just had a bug crawling on my leg. it scared me. but now its in a water bottle i found on my floor. hopefully it doesnt find a way out!,0,0.4389,positive,2
